||5029|0.562|2.380|242.000|42.000|0.280|109.000|0.120|Hard Drawn|Zinc|
||5559|0.625|2.470|201.000|38.000|0.350|108.000|0.125|Hard Drawn|Zinc|
||5533|0.625|3.630|122.000|38.000|0.570|108.000|0.125|Hard Drawn|Zinc|
||633|0.750|3.500|107.000|34.000|0.680|107.000|0.135|Hard Drawn|Zinc|
||5314|0.750|7.000|50.000|34.000|1.400|107.000|0.135|Spring Steel|Zinc|
||5025|0.750|8.500|45.000|41.000|1.800|120.000|0.140|Spring Steel|Zinc|
||5321|0.843|2.690|187.000|39.000|0.450|124.000|0.148|Spring Steel|Zinc|
||5465|0.875|3.780|107.000|30.000|0.770|112.000|0.148|Spring Steel|Zinc|
||5686|0.906|6.500|44.000|33.000|1.800|112.000|0.148|Spring Steel|Zinc|
||81040|1.000|2.500|203.000|10.000|0.520|114.000|0.148|Music Wire|None|
||81041|1.000|2.750|159.000|10.000|0.660|114.000|0.148|Music Wire|None|
||81042|1.000|3.000|124.000|10.000|0.840|114.000|0.148|Music Wire|None|
||81043|1.000|3.500|93.000|10.000|1.100|114.000|0.148|Music Wire|None|
||81044|1.000|4.000|72.000|10.000|1.500|114.000|0.148|Music Wire|None|
||81045|1.000|4.500|59.000|10.000|1.800|114.000|0.148|Music Wire|None|
||81046|1.000|5.000|50.000|10.000|2.100|114.000|0.148|Music Wire|None|
||81047|1.000|5.500|44.000|10.000|2.400|114.000|0.148|Music Wire|None|
||81048|1.000|6.000|39.000|10.000|2.700|114.000|0.148|Music Wire|None|
||81049|1.000|6.500|34.000|10.000|3.100|114.000|0.148|Music Wire|None|
||81050|1.000|7.000|31.000|10.000|3.400|114.000|0.148|Music Wire|None|
||81051|1.000|8.000|26.000|10.000|4.000|114.000|0.148|Music Wire|None|
||81052|1.000|9.000|23.000|10.000|4.600|114.000|0.148|Music Wire|None|
||725|1.188|12.000|15.000|26.000|5.500|107.000|0.162|Hard Drawn|Zinc|
||630|1.250|6.500|26.000|23.000|3.000|100.000|0.162|Hard Drawn|Zinc|
||5523|1.250|7.000|22.000|23.000|5.000|133.000|0.162|Music Wire|Zinc|
||5502|1.250|7.750|37.000|38.000|2.700|138.000|0.182|Spring Steel|Zinc|
||603|1.250|8.000|20.000|23.000|3.900|100.000|0.162|Hard Drawn|Zinc|
||626|1.250|8.000|32.000|33.000|3.200|134.000|0.177|Hard Drawn|Zinc|
||618|1.250|12.000|12.000|23.000|6.200|100.000|0.162|Hard Drawn|Zinc|
||726|1.250|14.000|10.000|23.000|7.500|100.000|0.162|Hard Drawn|Zinc|
||627|1.250|14.000|16.000|33.000|6.200|134.000|0.177|Hard Drawn|Zinc|
||5067|1.375|7.750|25.000|27.000|3.700|119.000|0.177|Spring Steel|Zinc|
||623|1.375|14.000|18.000|38.000|6.000|149.000|0.192|Hard Drawn|Zinc|
||4008|1.375|15.800|14.000|34.000|7.200|136.000|0.187|Spring Steel|Zinc|
||81154|1.500|4.500|60.000|11.000|2.000|132.000|0.177|Music Wire|None|
||81155|1.500|5.000|47.000|11.000|2.600|132.000|0.177|Music Wire|None|
||81156|1.500|5.500|39.000|11.000|3.100|132.000|0.177|Music Wire|None|
||81157|1.500|6.000|33.000|11.000|3.700|132.000|0.177|Music Wire|None|
||81158|1.500|6.500|28.000|11.000|4.300|132.000|0.177|Music Wire|None|
||81159|1.500|7.000|25.000|11.000|4.800|132.000|0.177|Music Wire|None|
||81160|1.500|7.500|23.000|11.000|5.400|132.000|0.177|Music Wire|None|
||81161|1.500|8.000|20.000|11.000|6.000|132.000|0.177|Music Wire|None|
