select|Select|CAD|CSC|Stock #|OD (in)|ID (in)|Free Length(in)|Rate (lbs/in)|Sugg. Max Defl (in)|Sugg. Max Load (lbs)|Solid Length (in)|Wire Dia. (in)|Total Coils|Material|Ends|Finish|
||ZZ3-36|0.156|1.160|0.050|0.020|4.700|0.240|0.010|Stainless|None|
||B3-7|0.188|0.500|0.310|0.040|1.300|0.440|0.013|Stainless|None|
||A10-52|0.188|0.630|0.120|0.020|3.300|0.410|0.011|Music Wire|None|
||S-529|0.250|1.380|0.070|0.030|6.600|0.480|0.015|Stainless|None|
||S-534|0.250|1.750|0.050|0.030|9.100|0.480|0.015|Stainless|None|
||S-540|0.250|2.130|0.040|0.030|11.000|0.480|0.015|Stainless|None|
||B6-12|0.281|0.910|0.050|0.020|9.100|0.450|0.013|Music Wire|None|
||303|0.343|2.750|0.320|0.200|0.000|0.220|0.031|Spring Steel|None|
||80012|0.063|0.250|3.700|0.060|0.160|0.650|0.009|Music Wire|None|
||80013|0.063|0.310|2.700|0.060|0.220|0.650|0.009|Music Wire|None|
||80014|0.063|0.380|2.100|0.060|0.280|0.650|0.009|Music Wire|None|
||80015|0.063|0.440|1.700|0.060|0.350|0.650|0.009|Music Wire|None|
||80016|0.063|0.500|1.400|0.060|0.420|0.650|0.009|Music Wire|None|
||80017|0.063|0.630|1.100|0.060|0.530|0.650|0.009|Music Wire|None|
||80018|0.063|0.750|0.880|0.060|0.670|0.650|0.009|Music Wire|None|
||5418|0.078|0.440|1.000|0.050|0.470|0.540|0.009|Music Wire|None|
||80026|0.094|0.380|1.200|0.050|0.470|0.610|0.010|Music Wire|None|
||80033S|0.094|0.380|1.700|0.060|0.280|0.520|0.011|Stainless|None|
||80040S|0.094|0.380|2.700|0.090|0.220|0.690|0.012|Stainless|None|
||80027|0.094|0.440|0.920|0.050|0.610|0.610|0.010|Music Wire|None|
||80034S|0.094|0.440|1.300|0.060|0.360|0.520|0.011|Stainless|None|
||80041S|0.094|0.440|2.000|0.090|0.300|0.690|0.012|Stainless|None|
||80028|0.094|0.500|0.780|0.050|0.720|0.610|0.010|Music Wire|None|
||80035S|0.094|0.500|1.000|0.060|0.450|0.520|0.011|Stainless|None|
||80042S|0.094|0.500|1.700|0.090|0.350|0.690|0.012|Stainless|None|
||80029|0.094|0.630|0.580|0.050|0.970|0.610|0.010|Music Wire|None|
||80036S|0.094|0.630|0.780|0.060|0.600|0.520|0.011|Stainless|None|
||80043S|0.094|0.630|1.300|0.090|0.470|0.690|0.012|Stainless|None|
||80030|0.094|0.750|0.420|0.050|1.300|0.610|0.010|Music Wire|None|
||80037S|0.094|0.750|0.610|0.060|0.770|0.520|0.011|Stainless|None|
||80044S|0.094|0.750|1.000|0.090|0.590|0.690|0.012|Stainless|None|
||80031|0.094|0.880|0.330|0.050|1.700|0.610|0.010|Music Wire|None|
||80038S|0.094|0.880|0.510|0.060|0.920|0.520|0.011|Stainless|None|
||80045S|0.094|0.880|0.830|0.090|0.720|0.690|0.012|Stainless|None|
||203-A|0.094|1.000|0.290|0.060|2.000|0.620|0.010|Music Wire|Zinc|
||80039S|0.094|1.000|0.430|0.060|1.100|0.520|0.011|Stainless|None|
||80046S|0.094|1.000|0.690|0.090|0.870|0.690|0.012|Stainless|None|
||462|0.109|0.380|1.100|0.060|0.590|0.710|0.011|Music Wire|Zinc|
||5376|0.109|0.470|0.620|0.040|0.790|0.530|0.010|Music Wire|Zinc|
||ZZ2-19|0.109|0.750|0.430|0.060|1.500|0.710|0.011|Music Wire|None|
||460|0.125|0.340|1.100|0.040|0.500|0.620|0.011|Music Wire|Zinc|
||ZZ1-47|0.125|0.380|0.690|0.040|0.830|0.620|0.011|Music Wire|None|
||N-90|0.125|0.440|0.950|0.040|0.610|0.620|0.011|Music Wire|None|
||ZZ1-20|0.125|0.440|1.500|0.080|0.390|0.670|0.013|Stainless|None|
||S-500|0.125|0.500|1.200|0.080|0.470|0.670|0.013|Stainless|None|
||463|0.125|0.560|0.470|0.040|1.200|0.620|0.011|Music Wire|Zinc|
||ZZ1-25|0.125|0.780|0.580|0.080|1.000|0.670|0.013|Stainless|None|
||S-505|0.125|1.000|0.370|0.080|1.600|0.670|0.013|Stainless|None|
||S-510|0.125|1.500|0.260|0.080|2.200|0.670|0.013|Stainless|None|
||S-513|0.125|2.000|0.190|0.080|3.100|0.670|0.013|Stainless|None|
||5578|0.140|0.470|0.790|0.050|0.840|0.710|0.012|Music Wire|Zinc|
||495|0.140|1.060|0.120|0.030|4.200|0.550|0.011|Music Wire|Zinc|
||5368|0.140|1.630|0.120|0.050|5.500|0.710|0.012|Music Wire|None|
||586|0.156|0.440|0.830|0.040|0.720|0.640|0.012|Music Wire|Zinc|
