||81100S|1.250|3.500|11.000|3.000|2.100|26.000|0.105|Stainless|None|
||81101S|1.250|4.000|7.800|3.000|2.900|26.000|0.105|Stainless|None|
||81102S|1.250|4.500|6.200|3.000|3.600|26.000|0.105|Stainless|None|
||81103S|1.250|5.000|5.100|3.000|4.400|26.000|0.105|Stainless|None|
CALL||81104S|1.250|5.500|4.300|3.000|5.200|26.000|0.105|Stainless|None|
||81105S|1.250|6.000|3.800|3.000|5.900|26.000|0.105|Stainless|None|
||81107S|1.250|7.000|3.000|3.000|7.600|26.000|0.105|Stainless|None|
||5239|0.296|0.810|202.000|9.000|0.090|28.000|0.060|Spring Steel|Zinc|
||A12-20|0.328|1.200|88.000|9.000|0.220|28.000|0.063|Spring Steel|Zinc|
||5335|0.375|1.250|103.000|8.000|0.200|28.000|0.066|Spring Steel|Zinc|
||S-622|0.437|3.130|19.000|8.000|1.100|28.000|0.072|Stainless|None|
||80724|0.500|1.250|55.000|4.000|0.420|27.000|0.067|Music Wire|None|
||80736|0.500|1.250|74.000|2.000|0.340|28.000|0.069|Music Wire|None|
||80737|0.500|1.380|54.000|2.000|0.470|28.000|0.069|Music Wire|None|
||80725|0.500|1.500|36.000|4.000|0.660|27.000|0.067|Music Wire|None|
||80738|0.500|1.500|45.000|2.000|0.560|28.000|0.069|Music Wire|None|
||80726|0.500|1.750|26.000|4.000|0.890|27.000|0.067|Music Wire|None|
||80739|0.500|1.750|31.000|2.000|0.810|28.000|0.069|Music Wire|None|
||80727|0.500|2.000|21.000|4.000|1.100|27.000|0.067|Music Wire|None|
||80740|0.500|2.000|25.000|2.000|1.000|28.000|0.069|Music Wire|None|
||80728|0.500|2.250|17.000|4.000|1.400|27.000|0.067|Music Wire|None|
||80741|0.500|2.250|20.000|2.000|1.300|28.000|0.069|Music Wire|None|
||80729|0.500|2.500|15.000|4.000|1.600|27.000|0.067|Music Wire|None|
||80742|0.500|2.500|17.000|2.000|1.500|28.000|0.069|Music Wire|None|
||80730|0.500|2.750|13.000|4.000|1.800|27.000|0.067|Music Wire|None|
||80743|0.500|2.750|15.000|2.000|1.700|28.000|0.069|Music Wire|None|
||80731|0.500|3.000|11.000|4.000|2.100|27.000|0.067|Music Wire|None|
||80744|0.500|3.000|13.000|2.000|1.900|28.000|0.069|Music Wire|None|
||538|0.500|3.130|17.000|7.000|1.200|28.000|0.075|Spring Steel|Zinc|
||5574|0.500|3.190|18.000|7.000|1.200|28.000|0.075|Spring Steel|Zinc|
||80732|0.500|3.500|9.200|4.000|2.500|27.000|0.067|Music Wire|None|
||80745|0.500|3.500|11.000|2.000|2.400|28.000|0.069|Music Wire|None|
||80733|0.500|4.000|7.800|4.000|3.000|27.000|0.067|Music Wire|None|
||80746|0.500|4.000|8.900|2.000|2.900|28.000|0.069|Music Wire|None|
||5588|0.500|4.000|14.000|7.000|1.600|28.000|0.075|Spring Steel|Zinc|
||80734|0.500|4.500|6.700|4.000|3.500|27.000|0.067|Music Wire|None|
||80747|0.500|4.500|7.800|2.000|3.300|28.000|0.069|Music Wire|None|
||80735|0.500|5.000|5.900|4.000|4.000|27.000|0.067|Music Wire|None|
||80748|0.500|5.000|6.800|2.000|3.700|28.000|0.069|Music Wire|None|
||5149|0.500|5.630|8.500|6.000|2.400|27.000|0.074|Spring Steel|Zinc|
||5685|0.500|7.130|8.100|6.000|2.500|27.000|0.074|Spring Steel|Gold Irridite®|
CALL||6074|0.500|7.130|6.800|6.000|3.000|27.000|0.074|Spring Steel|Zinc|
||12389|0.531|4.000|10.000|6.000|2.000|27.000|0.075|Spring Steel|Zinc|
||431|0.625|2.530|17.000|5.000|1.300|27.000|0.080|Hard Drawn|Zinc|
||5567|0.625|3.000|15.000|5.000|1.400|27.000|0.080|Spring Steel|Zinc|
||218|0.625|4.000|8.900|5.000|2.400|27.000|0.080|Hard Drawn|Zinc|
