"Configurable
NEW","DCX 22 Ø22 mm, Graphite Brushes, sleeve bearings","22 mm","14 W","24 V","12400 rpm","14.9 mNm","USD 158.50","Details"
"Configurable
NEW","DCX 22 Ø22 mm, Graphite Brushes, sleeve bearings","22 mm","14 W","36 V","12200 rpm","14.4 mNm","USD 158.50","Details"
"Configurable
NEW","DCX 22 Ø22 mm, Graphite Brushes, sleeve bearings","22 mm","14 W","48 V","12600 rpm","13.3 mNm","USD 158.50","Details"
"Configurable
NEW","DCX 35 L Ø35 mm, Graphite Brushes, ball bearings","35 mm","80 W","12 V","8140 rpm","77.7 mNm","USD 365.13","Details"
"Configurable
NEW","DCX 35 L Ø35 mm, Graphite Brushes, ball bearings","35 mm","80 W","18 V","7210 rpm","121 mNm","USD 365.13","Details"
"Configurable
NEW","DCX 35 L Ø35 mm, Graphite Brushes, ball bearings","35 mm","80 W","24 V","7730 rpm","121 mNm","USD 365.13","Details"
"Configurable
NEW","DCX 35 L Ø35 mm, Graphite Brushes, ball bearings","35 mm","80 W","36 V","7940 rpm","127 mNm","USD 365.13","Details"
"Configurable
NEW","DCX 35 L Ø35 mm, Graphite Brushes, ball bearings","35 mm","80 W","48 V","6670 rpm","138 mNm","USD 365.13","Details"
"Configurable
NEW","DCX 35 L Ø35 mm, Graphite Brushes, ball bearings","35 mm","80 W","60 V","7690 rpm","132 mNm","USD 365.13","Details"
108828,"A-max 22 Ø22 mm, Graphite Brushes, 6 Watt, with cable","22 mm","6 W","15 V","10100 rpm","6.73 mNm","USD 79.00","Details"
110041,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 2 Watt, CE approved, with terminals","16 mm","2 W","1.5 V","10800 rpm","0.712 mNm","USD 53.88","Details"
110042,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 2 Watt, CE approved, with terminals","16 mm","2 W","3 V","12300 rpm","1.3 mNm","USD 53.88","Details"
110043,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 2 Watt, CE approved, with terminals","16 mm","2 W","6 V","10100 rpm","2.22 mNm","USD 53.88","Details"
110044,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 2 Watt, CE approved, with terminals","16 mm","2 W","9 V","12300 rpm","2.19 mNm","USD 53.88","Details"
110045,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 2 Watt, CE approved, with terminals","16 mm","2 W","12 V","12300 rpm","2.17 mNm","USD 53.88","Details"
110046,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 2 Watt, CE approved, with terminals","16 mm","2 W","15 V","13200 rpm","2.17 mNm","USD 53.88","Details"
110047,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 2 Watt, CE approved, with terminals","16 mm","2 W","18 V","14100 rpm","2.15 mNm","USD 53.88","Details"
110048,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 2 Watt, CE approved, with terminals","16 mm","2 W","21 V","13700 rpm","2.14 mNm","USD 53.88","Details"
110049,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 2 Watt, CE approved, with terminals","16 mm","2 W","24 V","13800 rpm","2.11 mNm","USD 53.88","Details"
110050,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 2 Watt, CE approved, with terminals","16 mm","2 W","30 V","11400 rpm","2.08 mNm","USD 53.88","Details"
110051,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 1.2 Watt, CE approved, with terminals","16 mm","1.2 W","1.2 V","8560 rpm","0.694 mNm","USD 54.38","Details"
110052,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 1.2 Watt, CE approved, with terminals","16 mm","1.2 W","2.4 V","9730 rpm","1.29 mNm","USD 54.38","Details"
110053,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 1.2 Watt, CE approved, with terminals","16 mm","1.2 W","6 V","10000 rpm","2.18 mNm","USD 54.38","Details"
