||4402|0.890|17.300|58.000|97.000|2.400|238.000|0.185|Spring Steel|Zinc|
||5487|1.031|8.130|107.000|76.000|1.300|214.000|0.192|Spring Steel|Zinc|
||5608|1.234|7.190|94.000|68.000|1.600|215.000|0.207|Spring Steel|Black Oxide|
||12357|1.250|7.250|88.000|71.000|1.700|222.000|0.210|Spring Steel|None|
||612|1.312|8.000|102.000|85.000|1.700|255.000|0.225|Hard Drawn|Zinc|
||613|1.312|10.300|75.000|85.000|2.200|255.000|0.225|Hard Drawn|Zinc|
CALL||S-638|1.406|12.800|46.000|69.000|2.900|202.000|0.225|Stainless|None|
||5327|1.500|3.250|296.000|62.000|0.510|213.000|0.225|Spring Steel|Zinc|
||671|1.500|4.000|182.000|62.000|0.830|213.000|0.225|Hard Drawn|Zinc|
||672|1.500|5.000|194.000|87.000|0.970|275.000|0.243|Hard Drawn|Zinc|
||661|1.500|7.000|112.000|87.000|1.700|275.000|0.243|Hard Drawn|Zinc|
||5637|1.750|7.000|79.000|61.000|2.200|232.000|0.244|Spring Steel|Zinc|
||4004|1.938|8.250|50.000|54.000|3.400|221.000|0.250|Hard Drawn|Black Oxide|
